ImageName LightType In/Out
2019_00001.png 2 1
2019_00002.png 6 2
2019_00003.png 5 2
2019_00004.jpg 3 2
2019_00005.jpg 6 2
2019_00006.jpg 6 2
2019_00007.jpg 2 2
2019_00008.jpg 6 2
2019_00009.jpg 6 2
2019_00010.jpg 5 2
2019_00011.jpg 5 2
2019_00012.jpg 3 2
2019_00013.jpg 5 2
2019_00014.jpg 3 2
2019_00015.jpg 2 2
2019_00016.jpg 3 2
2019_00017.jpg 6 2
2019_00018.jpg 10 2
2019_00019.jpg 6 2
2019_00020.jpg 6 2
2019_00021.jpg 6 2
2019_00022.jpg 6 2
2019_00023.jpg 4 2
2019_00024.JPG 9 2
2019_00025.jpg 3 2
2019_00026.jpg 2 2
2019_00027.jpg 6 2
2019_00028.jpg 6 2
2019_00029.jpg 6 2
2019_00030.jpg 6 2
2019_00031.jpg 6 2
2019_00032.jpg 2 2
2019_00033.jpg 6 2
2019_00034.jpg 2 2
2019_00035.jpg 6 2
2019_00036.jpg 5 2
2019_00037.jpg 6 2
2019_00038.jpg 10 2
2019_00039.jpg 6 2
2019_00040.jpg 6 2
2019_00041.jpg 2 2
2019_00042.jpg 2 1
2019_00043.jpg 6 2
2019_00044.jpg 2 2
2019_00045.jpg 4 2
2019_00046.jpg 6 2
2019_00047.jpg 2 2
2019_00048.jpg 6 2
2019_00049.jpg 6 2
2019_00050.jpg 8 1
2019_00051.jpg 6 2
2019_00052.jpg 6 2
2019_00053.jpg 6 1
2019_00054.jpg 6 2
2019_00055.jpg 6 2
2019_00056.jpg 6 2
2019_00057.jpg 6 2
2019_00058.jpg 6 2
2019_00059.jpg 6 2
2019_00060.jpg 2 2
2019_00061.jpg 5 2
2019_00062.jpg 6 2
2019_00063.jpg 6 2
2019_00064.jpg 6 2
2019_00065.jpg 5 2
2019_00066.jpg 4 1
2019_00067.jpg 10 2
2019_00068.jpg 6 2
2019_00069.jpg 6 2
2019_00070.jpg 2 2
2019_00071.jpg 6 2
2019_00072.jpg 6 2
2019_00073.jpg 6 2
2019_00074.jpg 6 2
2019_00075.jpg 2 1
2019_00076.jpg 2 2
2019_00077.jpg 5 2
2019_00078.jpg 6 2
2019_00079.jpg 6 2
2019_00080.jpg 6 2
2019_00081.jpg 6 2
2019_00082.jpg 6 2
2019_00083.jpg 2 2
2019_00084.jpg 6 2
2019_00085.jpg 6 2
2019_00086.jpg 6 2
2019_00087.jpg 6 2
2019_00088.jpg 4 1
2019_00089.jpg 5 2
2019_00090.jpg 6 2
2019_00091.jpg 2 2
2019_00092.jpg 10 2
2019_00093.jpg 5 1
2019_00094.jpg 6 2
2019_00095.jpg 5 2
2019_00096.jpg 6 2
2019_00097.jpg 2 2
2019_00098.jpg 6 2
2019_00099.jpg 6 2
2019_00100.jpg 6 2
2019_00101.jpg 6 2
2019_00102.jpg 10 2
2019_00103.jpg 6 2
2019_00104.jpg 5 2
2019_00105.jpg 6 2
2019_00106.jpg 5 2
2019_00107.jpg 5 2
2019_00108.jpg 2 2
2019_00109.jpg 10 2
2019_00110.jpg 6 2
2019_00111.jpg 6 2
2019_00112.jpg 6 2
2019_00113.jpg 6 2
2019_00114.jpg 6 2
2019_00115.jpg 6 2
2019_00116.jpg 4 2
2019_00117.jpg 2 2
2019_00118.jpg 6 2
2019_00119.jpg 6 2
2019_00120.jpg 6 2
2019_00121.jpg 10 2
2019_00122.jpg 9 2
2019_00123.jpg 6 2
2019_00124.jpg 5 2
2019_00125.jpg 6 2
2019_00126.jpg 3 2
2019_00127.jpg 4 2
2019_00128.jpg 6 2
2019_00129.jpg 6 2
2019_00130.jpg 1 2
2019_00131.jpg 5 2
2019_00132.jpg 6 2
2019_00133.jpg 6 2
2019_00134.jpg 6 2
2019_00135.jpg 4 2
2019_00136.jpg 6 2
2019_00137.jpg 6 2
2019_00138.jpg 10 2
2019_00139.jpg 6 2
2019_00140.jpg 6 2
2019_00141.jpg 2 2
2019_00142.jpg 4 2
2019_00143.jpg 4 2
2019_00144.jpg 3 2
2019_00145.jpg 10 2
2019_00146.jpg 2 2
2019_00147.jpg 5 2
2019_00148.jpg 3 2
2019_00149.jpg 2 2
2019_00150.jpg 6 2
2019_00151.jpg 3 2
2019_00152.jpg 3 2
2019_00153.jpg 3 2
2019_00154.jpg 3 2
2019_00155.jpg 4 2
2019_00156.jpg 2 2
2019_00157.jpg 6 2
2019_00158.jpg 2 2
2019_00159.jpg 6 2
2019_00160.jpg 3 2
2019_00161.jpg 2 2
2019_00162.jpg 3 2
2019_00163.jpg 5 2
2019_00164.jpg 4 2
2019_00165.jpg 6 2
2019_00166.jpg 6 2
2019_00167.jpg 6 2
2019_00168.jpg 6 2
2019_00169.jpg 6 2
2019_00170.jpg 2 2
2019_00171.jpg 8 1
2019_00172.jpg 2 2
2019_00173.jpg 3 2
2019_00174.jpg 3 2
2019_00175.jpg 6 2
2019_00176.jpg 6 2
2019_00177.jpg 2 2
2019_00178.jpg 6 2
2019_00179.jpg 2 2
2019_00180.jpg 6 2
2019_00181.jpg 10 2
2019_00182.jpg 10 2
2019_00183.jpg 6 2
2019_00184.jpg 2 2
2019_00185.jpg 2 2
2019_00186.jpg 2 2
2019_00187.jpg 6 2
2019_00188.jpg 2 2
2019_00189.jpg 6 2
2019_00190.jpg 6 2
2019_00191.jpg 6 2
2019_00192.jpg 4 2
2019_00193.jpg 4 2
2019_00194.jpg 5 1
2019_00195.jpg 4 2
2019_00196.jpg 6 2
2019_00197.png 3 2
2019_00198.jpg 2 2
2019_00199.jpg 3 2
2019_00200.jpg 5 2
2019_00201.jpg 6 2
2019_00202.jpg 6 2
2019_00203.jpg 5 2
2019_00204.jpg 2 2
2019_00205.jpg 5 2
2019_00206.jpg 6 2
2019_00207.jpg 6 2
2019_00208.jpg 6 2
2019_00209.jpg 6 2
2019_00210.jpg 4 2
2019_00211.jpg 6 2
2019_00212.jpg 3 2
2019_00213.jpg 5 2
2019_00214.jpg 6 2
2019_00215.jpg 2 2
2019_00216.jpg 6 2
2019_00217.jpg 2 2
2019_00218.jpg 1 2
2019_00219.jpg 6 2
2019_00220.jpg 3 2
2019_00221.jpg 10 2
2019_00222.jpg 3 2
2019_00223.jpg 6 2
2019_00224.jpg 4 2
2019_00225.jpg 6 2
2019_00226.jpg 5 2
2019_00227.jpg 10 2
2019_00228.jpg 6 2
2019_00229.jpg 6 2
2019_00230.jpg 6 2
2019_00231.jpg 6 2
2019_00232.jpg 6 2
2019_00233.jpg 10 2
2019_00234.jpg 5 2
2019_00235.jpg 6 2
2019_00236.jpg 2 2
2019_00237.jpg 2 2
2019_00238.jpg 6 2
2019_00239.jpg 2 2
2019_00240.jpg 6 2
2019_00241.jpg 2 1
2019_00242.jpg 6 2
